year,jukun,enrollment,school,count
2016,日能研,60000,東海中学,130
2017,日能研,60000,東海中学,125
2018,日能研,60000,東海中学,123
2019,日能研,60000,東海中学,127
2020,日能研,60000,東海中学,143
2021,日能研,60000,東海中学,116
2022,日能研,60000,東海中学,143
2023,日能研,60000,東海中学,132
2024,日能研,60000,東海中学,150
2025,日能研,60000,東海中学,134
2026,日能研,60000,東海中学,164
2016,名進研,4500,東海中学,140
2017,名進研,4500,東海中学,135
2018,名進研,4500,東海中学,127
2019,名進研,4500,東海中学,103
2020,名進研,4500,東海中学,104
2021,名進研,4500,東海中学,116
2022,名進研,4500,東海中学,121
2023,名進研,4500,東海中学,104
2024,名進研,4500,東海中学,124
2025,名進研,4500,東海中学,132
2026,名進研,4500,東海中学,116
2016,浜学園,12000,東海中学,60
2017,浜学園,12000,東海中学,62
2018,浜学園,12000,東海中学,65
2019,浜学園,12000,東海中学,67
2020,浜学園,12000,東海中学,64
2021,浜学園,12000,東海中学,69
2022,浜学園,12000,東海中学,74
2023,浜学園,12000,東海中学,81
2024,浜学園,12000,東海中学,88
2025,浜学園,12000,東海中学,85
2026,浜学園,12000,東海中学,92
2016,馬淵教室,10000,東海中学,0
2017,馬淵教室,10500,東海中学,0
2018,馬淵教室,11000,東海中学,0
2019,馬淵教室,11500,東海中学,5
2020,馬淵教室,12000,東海中学,20
2021,馬淵教室,12500,東海中学,26
2022,馬淵教室,13000,東海中学,47
2023,馬淵教室,13500,東海中学,63
2024,馬淵教室,14000,東海中学,51
2025,馬淵教室,14500,東海中学,60
2026,馬淵教室,15000,東海中学,60
2016,日能研,60000,滝中学,180
2017,日能研,60000,滝中学,185
2018,日能研,60000,滝中学,177
2019,日能研,60000,滝中学,230
2020,日能研,60000,滝中学,240
2021,日能研,60000,滝中学,220
2022,日能研,60000,滝中学,234
2023,日能研,60000,滝中学,235
2024,日能研,60000,滝中学,251
2025,日能研,60000,滝中学,231
2026,日能研,60000,滝中学,280
2016,名進研,4500,滝中学,250
2017,名進研,4500,滝中学,245
2018,名進研,4500,滝中学,237
2019,名進研,4500,滝中学,200
2020,名進研,4500,滝中学,190
2021,名進研,4500,滝中学,187
2022,名進研,4500,滝中学,146
2023,名進研,4500,滝中学,174
2024,名進研,4500,滝中学,170
2025,名進研,4500,滝中学,194
2026,名進研,4500,滝中学,168
2016,浜学園,12000,滝中学,95
2017,浜学園,12000,滝中学,100
2018,浜学園,12000,滝中学,105
2019,浜学園,12000,滝中学,110
2020,浜学園,12000,滝中学,115
2021,浜学園,12000,滝中学,86
2022,浜学園,12000,滝中学,101
2023,浜学園,12000,滝中学,101
2024,浜学園,12000,滝中学,117
2025,浜学園,12000,滝中学,120
2026,浜学園,12000,滝中学,87
2016,馬淵教室,10000,滝中学,0
2017,馬淵教室,10500,滝中学,0
2018,馬淵教室,11000,滝中学,0
2019,馬淵教室,11500,滝中学,0
2020,馬淵教室,12000,滝中学,10
2021,馬淵教室,12500,滝中学,20
2022,馬淵教室,13000,滝中学,51
2023,馬淵教室,13500,滝中学,66
2024,馬淵教室,14000,滝中学,67
2025,馬淵教室,14500,滝中学,81
2026,馬淵教室,15000,滝中学,80
